"","dataset","model","fog","program","delta_AICc","tip_fog_as_fraction_trait_mean","tip_variance_divided_by_tree_plus_tip_variance","sigma.sq","sigma.sq.me","other_param","ntax","treeheight"
"1","AlencarEtAl_log_precip","kappa","none","geiger",0,0,0,0.154386973101913,0,0.0809495791750939,663,83.4922160045
"2","AlencarEtAl_log_precip","kappa","estimate","geiger",0.881937422337614,0.0767163245319916,0.140747206656782,0.139323382174095,0.25279412411152,7.12457640674129e-218,663,83.4922160045
"3","AlencarEtAl_log_precip","EB","estimate","geiger",47.9546207418259,0.104084279587453,0.261490152311834,0.035356815455148,0.465330673310077,-0.0164331003320245,663,83.4922160045
"4","AlencarEtAl_log_precip","BM1","estimate","ouwie",48.9191050082954,0.0687339333615153,NA,0.0125046186034231,0.202924177697167,NA,663,83.4922160045
"5","AlencarEtAl_log_precip","delta","estimate","geiger",48.9203835645255,0.103199106159257,0.262428411782028,0.0202705732694591,0.457449620059178,0.532038456701164,663,83.4922160045
"6","AlencarEtAl_log_precip","OU1","estimate","ouwie",50.9434747843486,0.0687381147680941,NA,0.0125041836025347,0.20294886810144,NA,663,83.4922160045
"7","AlencarEtAl_log_precip","OU","none","geiger",249.462236096069,0,0,0.0867658769019766,0,0.0403690139480238,663,83.4922160045
"8","AlencarEtAl_log_precip","OU","estimate","geiger",249.462236096069,0,0,0.0867658769019766,0,0.0403690139480238,663,83.4922160045
"9","AlencarEtAl_log_precip","OU1","none","ouwie",249.462237582812,0,NA,0.086768099826028,0,NA,663,83.4922160045
"10","AlencarEtAl_log_precip","delta","none","geiger",325.912667165923,0,0,0.0216044676989301,0,2.99999892308531,663,83.4922160045
"11","AlencarEtAl_log_precip","BM","none","geiger",416.807579080875,0,0,0.0574609004364787,0,NA,663,83.4922160045
"12","AlencarEtAl_log_precip","BM1","none","ouwie",416.807602168304,0,NA,0.0574643543692045,0,NA,663,83.4922160045
"13","AlencarEtAl_log_precip","BM","estimate","geiger",418.825816079079,2.47133518989962e-38,6.29389223315417e-75,0.0574608966760072,2.62334075441918e-74,NA,663,83.4922160045
"14","AlencarEtAl_log_precip","EB","none","geiger",418.829975955633,0,0,0.057465501066004,0,-1e-06,663,83.4922160045
"15","AlencarEtAl_log_precip","white","only","geiger",765.240203616889,0.18335468796771,1,0,1.4440274085109,NA,663,83.4922160045
"16","AlencarEtAl_log_svl","EB","estimate","geiger",0,0.0779084962832157,0.372984515469147,0.00511772664450288,0.107814091467548,-0.0177108542407982,596,83.4922160045
"17","AlencarEtAl_log_svl","delta","estimate","geiger",1.88946419336389,0.0762251507773336,0.355507029758956,0.00308197641961849,0.103205410962449,0.456929487686992,596,83.4922160045
"18","AlencarEtAl_log_svl","BM","estimate","geiger",3.42238962594649,0.0742686773916296,0.446550593173902,0.00167833778988471,0.0979754491537993,NA,596,83.4922160045
"19","AlencarEtAl_log_svl","BM1","estimate","ouwie",3.4223907510158,0.0232465788531722,NA,0.00167829730308403,0.00959895551309137,NA,596,83.4922160045
"20","AlencarEtAl_log_svl","OU1","estimate","ouwie",5.44953191813011,0.0232467701292592,NA,0.00167832800759179,0.0095991134768257,NA,596,83.4922160045
"21","AlencarEtAl_log_svl","kappa","none","geiger",21.4229203256884,0,0,0.00769228065183815,0,0.47048579058985,596,83.4922160045
"22","AlencarEtAl_log_svl","kappa","estimate","geiger",23.4500616922568,6.36242395600203e-110,4.01919047825041e-217,0.00769220432570277,7.19036758148864e-218,0.470489019932551,596,83.4922160045
